"projet_id","projet_libelle","secteur_site_id","secteur_site_libelle"
"aqua_domitia_t1","AquaDomitia T1","laroque_fabregues","Laroque / Fabrègues"
"aqua_domitia_t2","AquaDomitia T2","les_cresses_cournonsec","Les Cresses / Cournonsec"
"cd34_lien","CD 34 Lien","4_pilats","4 Pilats"
"cd34_lien","CD 34 Lien","lamouroux","Lamouroux"
"cd66_mc_rd16","CD 66 / MC RD916","port_vendres","Port-Vendres"
"cd66_mc_rd17","CD 66 / MC RD917","banyuls_sur_mer","Banyuls-sur-mer"
"cnm","CNM","garrigues_guzargues","Garrigues / Guzargues"
"cnm","CNM","garrigues_lunel","Garrigues / Lunel"
"cnm","CNM","garrigues_saturargues","Garrigues / Saturargues"
"cnm","CNM","moa_costieres_est","MOA / Costières Est"
"cnm_jonctions","CNM Jonctions","costieres_est","Costières Est"
"cnm_jonctions","CNM Jonctions","plaine_lattes","Plaine / Lattes"
"colas_castelnou","COLAS Castelnou","castelnou_causse","Castelnou / Causse"
"gare_npdg","Gare Nîmes – Pont du Gard","costieres","Costières"
"lotissement_saliniers","Lot. Les Saliniers","murviel_pioch_rouqier","Murviel / Pioch Rouqier"
"mc_asf_s3","MC ASF S3","bachous_villelongue_dels_monts","Bachous / Villelongue dels monts"
"mc_asf_s3","MC ASF S3","sablons_le_boulou","Sablons / Le Boulou"
"mc_cdb","MC Carrières du Biterrois","lespignan","Lespignan"
"mc_cdb","MC Carrières du Biterrois","nissan_lez_enserune","Nissan-lez-Ensérune"
"mc_dd_a9","MC DDA9","fabregues_lauze","Fabrègues / La Lauze"
"mc_garrigues_de_poussan","MC Garrigues de Poussan","garrigues_de_ poussan","Garrigues de Poussan"
"mc_hectare","MC Hectare","nissan_lez_enserune","Nissan-lez-Ensérune"
"mc_sablieres_salanque","MC sablières de la salanque","salses_le_chateau","Salses-le-Château"
"mc_sablons_vaills","MC Sablons de Vaills","saint_jean_pla_de_corts","Saint-Jean-Pla-de-Corts"
"rd5","RD5","saint_peyre","Saint-Peyre"
"rd5","RD5","les_cresses","Les Cresses"
"zac_charles_martels","ZAC Charles Martels","lauze_garrigues_larzat","La Lauze / Garrigues du Larzat"
